,elevation,H1,H2,k,k_min_idx,h_local_max_idx,elevation_threshold,H2_local_max_idx
0,0.0,,,,56,51,3,25
1,0.0,0.0,0.0,0.0,56,51,3,25
2,0.0,0.0,1.0,1.0,56,51,3,25
3,1.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
4,1.0,0.0,0.0,0.0,56,51,3,25
5,1.0,0.0,0.0,0.0,56,51,3,25
6,1.0,0.0,0.0,0.0,56,51,3,25
7,1.0,0.0,0.0,0.0,56,51,3,25
8,1.0,0.0,0.0,0.0,56,51,3,25
9,1.0,0.0,0.0,0.0,56,51,3,25
10,1.0,0.0,0.0,0.0,56,51,3,25
11,1.0,0.0,0.0,0.0,56,51,3,25
12,1.0,0.0,0.0,0.0,56,51,3,25
13,1.0,0.0,0.0,0.0,56,51,3,25
14,1.0,0.0,0.0,0.0,56,51,3,25
15,1.0,0.0,0.0,0.0,56,51,3,25
16,1.0,0.0,0.0,0.0,56,51,3,25
17,1.0,0.0,0.0,0.0,56,51,3,25
18,1.0,0.0,0.0,0.0,56,51,3,25
19,1.0,0.0,0.0,0.0,56,51,3,25
20,1.0,0.0,0.0,0.0,56,51,3,25
21,1.0,0.0,0.0,0.0,56,51,3,25
22,1.0,0.0,0.0,0.0,56,51,3,25
23,1.0,0.0,0.0,0.0,56,51,3,25
24,1.0,0.0,0.0,0.0,56,51,3,25
25,1.0,0.0,1.0,1.0,56,51,3,25
26,2.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
27,2.0,0.0,0.0,0.0,56,51,3,25
28,2.0,0.0,0.0,0.0,56,51,3,25
29,2.0,0.0,1.0,1.0,56,51,3,25
30,3.0,1.0,0.0,0.0,56,51,3,25
31,4.0,1.0,1.0,0.35355339059327373,56,51,3,25
32,6.0,2.0,-2.0,-0.17888543819998318,56,51,3,25
33,6.0,0.0,1.0,1.0,56,51,3,25
34,7.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
35,7.0,0.0,0.0,0.0,56,51,3,25
36,7.0,0.0,0.0,0.0,56,51,3,25
37,7.0,0.0,0.0,0.0,56,51,3,25
38,7.0,0.0,1.0,1.0,56,51,3,25
39,8.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
40,8.0,0.0,1.0,1.0,56,51,3,25
41,9.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
42,9.0,0.0,1.0,1.0,56,51,3,25
43,10.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
44,10.0,0.0,1.0,1.0,56,51,3,25
45,11.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
46,11.0,0.0,1.0,1.0,56,51,3,25
47,12.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
48,12.0,0.0,0.0,0.0,56,51,3,25
49,12.0,0.0,0.0,0.0,56,51,3,25
50,12.0,0.0,0.0,0.0,56,51,3,25
51,12.0,0.0,0.0,0.0,56,51,3,25
52,12.0,0.0,0.0,0.0,56,51,3,25
53,12.0,0.0,0.0,0.0,56,51,3,25
54,12.0,0.0,0.0,0.0,56,51,3,25
55,12.0,0.0,0.0,0.0,56,51,3,25
56,12.0,0.0,-1.0,-1.0,56,51,3,25
57,11.0,-1.0,1.0,0.35355339059327373,56,51,3,25
58,11.0,0.0,0.0,0.0,56,51,3,25
59,11.0,0.0,0.0,0.0,56,51,3,25
60,11.0,0.0,0.0,0.0,56,51,3,25
61,11.0,0.0,0.0,0.0,56,51,3,25
62,11.0,0.0,-1.0,-1.0,56,51,3,25
63,10.0,-1.0,1.0,0.35355339059327373,56,51,3,25
64,10.0,0.0,0.0,0.0,56,51,3,25
65,10.0,0.0,0.0,0.0,56,51,3,25
66,10.0,0.0,0.0,0.0,56,51,3,25
67,10.0,0.0,0.0,0.0,56,51,3,25
68,10.0,0.0,0.0,0.0,56,51,3,25
69,10.0,0.0,1.0,1.0,56,51,3,25
70,11.0,1.0,-2.0,-0.7071067811865475,56,51,3,25
71,10.0,-1.0,2.0,0.7071067811865475,56,51,3,25
72,11.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
73,11.0,0.0,0.0,0.0,56,51,3,25
74,11.0,0.0,0.0,0.0,56,51,3,25
75,11.0,0.0,1.0,1.0,56,51,3,25
76,12.0,1.0,-1.0,-0.35355339059327373,56,51,3,25
77,12.0,0.0,0.0,0.0,56,51,3,25
78,12.0,0.0,0.0,0.0,56,51,3,25
79,12.0,0.0,0.0,0.0,56,51,3,25
80,12.0,0.0,0.0,0.0,56,51,3,25
81,12.0,0.0,0.0,0.0,56,51,3,25
82,12.0,0.0,0.0,0.0,56,51,3,25
83,12.0,0.0,0.0,0.0,56,51,3,25
84,12.0,0.0,0.0,0.0,56,51,3,25
85,12.0,0.0,-1.0,-1.0,56,51,3,25
86,11.0,-1.0,1.0,0.35355339059327373,56,51,3,25
87,11.0,0.0,0.0,0.0,56,51,3,25
88,11.0,0.0,0.0,0.0,56,51,3,25
89,11.0,0.0,0.0,0.0,56,51,3,25
90,11.0,0.0,0.0,0.0,56,51,3,25
91,11.0,0.0,0.0,0.0,56,51,3,25
92,11.0,0.0,0.0,0.0,56,51,3,25
93,11.0,0.0,0.0,0.0,56,51,3,25
94,11.0,0.0,0.0,0.0,56,51,3,25
95,11.0,0.0,0.0,0.0,56,51,3,25
96,11.0,0.0,0.0,0.0,56,51,3,25
97,11.0,0.0,0.0,0.0,56,51,3,25
98,11.0,0.0,,,56,51,3,25
