,elevation,H1,H2,k,k_min_idx,h_local_max_idx,elevation_threshold
0,0.0,,,,54,54,3
1,0.0,0.0,0.0,0.0,54,54,3
2,0.0,0.0,0.0,0.0,54,54,3
3,0.0,0.0,0.0,0.0,54,54,3
4,0.0,0.0,0.0,0.0,54,54,3
5,0.0,0.0,0.0,0.0,54,54,3
6,0.0,0.0,0.0,0.0,54,54,3
7,0.0,0.0,0.0,0.0,54,54,3
8,0.0,0.0,0.0,0.0,54,54,3
9,0.0,0.0,0.0,0.0,54,54,3
10,0.0,0.0,0.0,0.0,54,54,3
11,0.0,0.0,0.0,0.0,54,54,3
12,0.0,0.0,0.0,0.0,54,54,3
13,0.0,0.0,0.0,0.0,54,54,3
14,0.0,0.0,0.0,0.0,54,54,3
15,0.0,0.0,0.0,0.0,54,54,3
16,0.0,0.0,0.0,0.0,54,54,3
17,0.0,0.0,0.0,0.0,54,54,3
18,0.0,0.0,0.0,0.0,54,54,3
19,0.0,0.0,0.0,0.0,54,54,3
20,0.0,0.0,0.0,0.0,54,54,3
21,0.0,0.0,0.0,0.0,54,54,3
22,0.0,0.0,0.0,0.0,54,54,3
23,0.0,0.0,0.0,0.0,54,54,3
24,0.0,0.0,0.0,0.0,54,54,3
25,0.0,0.0,0.0,0.0,54,54,3
26,0.0,0.0,0.0,0.0,54,54,3
27,0.0,0.0,0.0,0.0,54,54,3
28,0.0,0.0,0.0,0.0,54,54,3
29,0.0,0.0,0.0,0.0,54,54,3
30,0.0,0.0,0.0,0.0,54,54,3
31,0.0,0.0,0.0,0.0,54,54,3
32,0.0,0.0,0.0,0.0,54,54,3
33,0.0,0.0,0.0,0.0,54,54,3
34,0.0,0.0,0.0,0.0,54,54,3
35,0.0,0.0,0.0,0.0,54,54,3
36,0.0,0.0,0.0,0.0,54,54,3
37,0.0,0.0,0.0,0.0,54,54,3
38,0.0,0.0,0.0,0.0,54,54,3
39,0.0,0.0,0.0,0.0,54,54,3
40,0.0,0.0,0.0,0.0,54,54,3
41,0.0,0.0,0.0,0.0,54,54,3
42,0.0,0.0,0.0,0.0,54,54,3
43,0.0,0.0,0.0,0.0,54,54,3
44,0.0,0.0,0.0,0.0,54,54,3
45,0.0,0.0,0.0,0.0,54,54,3
46,0.0,0.0,0.0,0.0,54,54,3
47,0.0,0.0,0.0,0.0,54,54,3
48,0.0,0.0,0.0,0.0,54,54,3
49,0.0,0.0,0.0,0.0,54,54,3
50,0.0,0.0,0.0,0.0,54,54,3
51,0.0,0.0,0.0,0.0,54,54,3
52,0.0,0.0,0.0,0.0,54,54,3
53,0.0,0.0,1.0,1.0,54,54,3
54,1.0,1.0,-1.0,-0.35355339059327373,54,54,3
55,1.0,0.0,0.0,0.0,54,54,3
56,1.0,0.0,0.0,0.0,54,54,3
57,1.0,0.0,0.0,0.0,54,54,3
58,1.0,0.0,0.0,0.0,54,54,3
59,1.0,0.0,0.0,0.0,54,54,3
60,1.0,0.0,3.0,3.0,54,54,3
61,4.0,3.0,-1.0,-0.03162277660168379,54,54,3
62,6.0,2.0,-2.0,-0.17888543819998318,54,54,3
63,6.0,0.0,0.0,0.0,54,54,3
64,6.0,0.0,3.0,3.0,54,54,3
65,9.0,3.0,1.0,0.03162277660168379,54,54,3
66,13.0,4.0,-3.0,-0.04280040441817641,54,54,3
67,14.0,1.0,-1.0,-0.35355339059327373,54,54,3
68,14.0,0.0,1.0,1.0,54,54,3
69,15.0,1.0,-1.0,-0.35355339059327373,54,54,3
70,15.0,0.0,2.0,2.0,54,54,3
71,17.0,2.0,-2.0,-0.17888543819998318,54,54,3
72,17.0,0.0,1.0,1.0,54,54,3
73,18.0,1.0,-1.0,-0.35355339059327373,54,54,3
74,18.0,0.0,0.0,0.0,54,54,3
75,18.0,0.0,3.0,3.0,54,54,3
76,21.0,3.0,-3.0,-0.09486832980505139,54,54,3
77,21.0,0.0,2.0,2.0,54,54,3
78,23.0,2.0,-2.0,-0.17888543819998318,54,54,3
79,23.0,0.0,1.0,1.0,54,54,3
80,24.0,1.0,1.0,0.35355339059327373,54,54,3
81,26.0,2.0,0.0,0.0,54,54,3
82,28.0,2.0,-2.0,-0.17888543819998318,54,54,3
83,28.0,0.0,1.0,1.0,54,54,3
84,29.0,1.0,0.0,0.0,54,54,3
85,30.0,1.0,-1.0,-0.35355339059327373,54,54,3
86,30.0,0.0,1.0,1.0,54,54,3
87,31.0,1.0,-1.0,-0.35355339059327373,54,54,3
88,31.0,0.0,1.0,1.0,54,54,3
89,32.0,1.0,0.0,0.0,54,54,3
90,33.0,1.0,0.0,0.0,54,54,3
91,34.0,1.0,-1.0,-0.35355339059327373,54,54,3
92,34.0,0.0,1.0,1.0,54,54,3
93,35.0,1.0,-1.0,-0.35355339059327373,54,54,3
94,35.0,0.0,0.0,0.0,54,54,3
95,35.0,0.0,0.0,0.0,54,54,3
96,35.0,0.0,0.0,0.0,54,54,3
97,35.0,0.0,0.0,0.0,54,54,3
98,35.0,0.0,,,54,54,3
