no_transect	length_transect	no_point	dem	x_image	y_image	x_geo	y_geo	elevation	slope	geometry	index_right	id
3	100.00000000004226	0	dem_sample_model.tif	24	24	213254.9771157821	689896.5508910621	0.0	0.0	POINT (14.623550203633231 53.99374499361897)	0.0	1.0
3	100.00000000004226	1	dem_sample_model.tif	25	24	213255.3300365449	689895.6152378491	0.0	0.0	POINT (14.623556454033608 53.99373680192947)	0.0	1.0
3	100.00000000004226	2	dem_sample_model.tif	25	24	213255.6829573077	689894.6795846359	0.0	0.0	POINT (14.62356270443145 53.99372861023962)	0.0	1.0
3	100.00000000004226	3	dem_sample_model.tif	26	24	213256.0358780705	689893.7439314228	0.0	0.0	POINT (14.623568954826764 53.99372041854938)	0.0	1.0
3	100.00000000004226	4	dem_sample_model.tif	26	24	213256.38879883333	689892.8082782098	0.0	0.0	POINT (14.623575205219549 53.99371222685876)	0.0	1.0
3	100.00000000004226	5	dem_sample_model.tif	27	24	213256.74171959612	689891.8726249967	0.0	14.04	POINT (14.623581455609802 53.99370403516777)	0.0	1.0
3	100.00000000004226	6	dem_sample_model.tif	27	25	213257.09464035893	689890.9369717835	0.0	14.04	POINT (14.62358770599753 53.99369584347639)	0.0	1.0
3	100.00000000004226	7	dem_sample_model.tif	28	25	213257.44756112172	689890.0013185705	1.0	14.04	POINT (14.623593956382726 53.99368765178461)	0.0	1.0
3	100.00000000004226	8	dem_sample_model.tif	28	25	213257.80048188457	689889.0656653574	1.0	14.04	POINT (14.62360020676539 53.993679460092466)	0.0	1.0
3	100.00000000004226	9	dem_sample_model.tif	29	25	213258.15340264735	689888.1300121442	1.0	0.0	POINT (14.623606457145529 53.99367126839995)	0.0	1.0
3	100.00000000004226	10	dem_sample_model.tif	29	25	213258.50632341017	689887.1943589312	1.0	0.0	POINT (14.623612707523137 53.99366307670703)	0.0	1.0
3	100.00000000004226	11	dem_sample_model.tif	30	25	213258.85924417296	689886.2587057181	1.0	0.0	POINT (14.62361895789821 53.99365488501375)	0.0	1.0
3	100.00000000004226	12	dem_sample_model.tif	30	26	213259.2121649358	689885.3230525049	1.0	0.0	POINT (14.623625208270756 53.99364669332009)	0.0	1.0
3	100.00000000004226	13	dem_sample_model.tif	31	26	213259.56508569865	689884.3873992919	1.0	0.0	POINT (14.623631458640775 53.99363850162603)	0.0	1.0
3	100.00000000004226	14	dem_sample_model.tif	31	26	213259.9180064614	689883.4517460788	1.0	0.0	POINT (14.623637709008262 53.99363030993162)	0.0	1.0
3	100.00000000004226	15	dem_sample_model.tif	31	26	213260.27092722425	689882.5160928657	1.0	0.0	POINT (14.623643959373224 53.99362211823679)	0.0	1.0
3	100.00000000004226	16	dem_sample_model.tif	32	26	213260.62384798704	689881.5804396525	1.0	0.0	POINT (14.62365020973565 53.993613926541606)	0.0	1.0
3	100.00000000004226	17	dem_sample_model.tif	32	27	213260.97676874985	689880.6447864395	1.0	0.0	POINT (14.623656460095548 53.99360573484604)	0.0	1.0
3	100.00000000004226	18	dem_sample_model.tif	33	27	213261.32968951264	689879.7091332264	1.0	0.0	POINT (14.623662710452917 53.99359754315009)	0.0	1.0
3	100.00000000004226	19	dem_sample_model.tif	33	27	213261.68261027543	689878.7734800132	1.0	0.0	POINT (14.623668960807759 53.99358935145376)	0.0	1.0
3	100.00000000004226	20	dem_sample_model.tif	34	27	213262.03553103827	689877.8378268002	1.0	0.0	POINT (14.623675211160068 53.993581159757035)	0.0	1.0
3	100.00000000004226	21	dem_sample_model.tif	34	27	213262.3884518011	689876.9021735871	1.0	0.0	POINT (14.623681461509847 53.993572968059944)	0.0	1.0
3	100.00000000004226	22	dem_sample_model.tif	35	27	213262.74137256388	689875.966520374	1.0	0.0	POINT (14.623687711857098 53.99356477636246)	0.0	1.0
