no_transect,length_transect,no_point,dem,x_image,y_image,x_geo,y_geo,elevation,slope,geometry,index_right,id
5,100.00000000004763,0,dem_sample_model.tif,24,24,195374.5207167899,681770.2205754733,5.0,14.04,POINT (14.359718755951777 53.91069306287858),0.0,1.0
5,100.00000000004763,1,dem_sample_model.tif,24,24,195374.9850384796,681769.3349088494,5.0,14.04,POINT (14.359726684970596 53.91068539910758),0.0,1.0
5,100.00000000004763,2,dem_sample_model.tif,25,25,195375.44936016924,681768.4492422257,4.0,14.04,POINT (14.359734613986456 53.91067773533598),0.0,1.0
5,100.00000000004763,3,dem_sample_model.tif,25,25,195375.9136818589,681767.5635756019,4.0,14.04,POINT (14.35974254299935 53.91067007156377),0.0,1.0
5,100.00000000004763,4,dem_sample_model.tif,25,25,195376.3780035486,681766.6779089781,4.0,14.04,POINT (14.359750472009283 53.910662407790994),0.0,1.0
5,100.00000000004763,5,dem_sample_model.tif,26,25,195376.84232523828,681765.7922423544,4.0,14.04,POINT (14.359758401016256 53.91065474401763),0.0,1.0
5,100.00000000004763,6,dem_sample_model.tif,26,26,195377.30664692796,681764.9065757305,4.0,11.18,POINT (14.359766330020268 53.91064708024364),0.0,1.0
5,100.00000000004763,7,dem_sample_model.tif,27,26,195377.7709686176,681764.0209091067,3.0,11.18,POINT (14.359774259021318 53.910639416469095),0.0,1.0
5,100.00000000004763,8,dem_sample_model.tif,27,26,195378.2352903073,681763.1352424829,3.0,11.18,POINT (14.359782188019404 53.91063175269396),0.0,1.0
5,100.00000000004763,9,dem_sample_model.tif,28,26,195378.6996119969,681762.2495758592,4.0,15.62,POINT (14.359790117014528 53.91062408891821),0.0,1.0
5,100.00000000004763,10,dem_sample_model.tif,28,26,195379.16393368665,681761.3639092353,4.0,15.62,POINT (14.359798046006691 53.91061642514189),0.0,1.0
5,100.00000000004763,11,dem_sample_model.tif,29,27,195379.6282553763,681760.4782426115,4.0,11.18,POINT (14.359805974995895 53.91060876136497),0.0,1.0
5,100.00000000004763,12,dem_sample_model.tif,29,27,195380.092577066,681759.5925759878,4.0,11.18,POINT (14.359813903982136 53.91060109758746),,
5,100.00000000004763,13,dem_sample_model.tif,29,27,195380.55689875563,681758.706909364,4.0,11.18,POINT (14.359821832965416 53.91059343380935),,
