no_transect,length_transect,no_point,dem,x_image,y_image,x_geo,y_geo,elevation,slope
4,99.99999999995727,0,dem_sample_model.tif,24,24,204027.96385264452,686306.8058199089,0.0,0.0
4,99.99999999995727,1,dem_sample_model.tif,25,24,204028.37760842463,686305.8954319946,0.0,0.0
4,99.99999999995727,2,dem_sample_model.tif,25,24,204028.79136420475,686304.9850440803,0.0,0.0
4,99.99999999995727,3,dem_sample_model.tif,26,25,204029.20511998486,686304.0746561661,0.0,0.0
4,99.99999999995727,4,dem_sample_model.tif,26,25,204029.61887576495,686303.1642682519,0.0,0.0
4,99.99999999995727,5,dem_sample_model.tif,27,25,204030.03263154507,686302.2538803376,0.0,0.0
4,99.99999999995727,6,dem_sample_model.tif,27,25,204030.44638732518,686301.3434924233,0.0,0.0
4,99.99999999995727,7,dem_sample_model.tif,28,25,204030.8601431053,686300.433104509,0.0,0.0
4,99.99999999995727,8,dem_sample_model.tif,28,26,204031.2738988854,686299.5227165947,0.0,0.0
4,99.99999999995727,9,dem_sample_model.tif,28,26,204031.68765466553,686298.6123286806,0.0,0.0
4,99.99999999995727,10,dem_sample_model.tif,29,26,204032.10141044564,686297.7019407663,0.0,0.0
4,99.99999999995727,11,dem_sample_model.tif,29,26,204032.51516622573,686296.791552852,0.0,0.0
4,99.99999999995727,12,dem_sample_model.tif,30,26,204032.92892200584,686295.8811649377,0.0,0.0
4,99.99999999995727,13,dem_sample_model.tif,30,27,204033.34267778596,686294.9707770235,0.0,0.0
4,99.99999999995727,14,dem_sample_model.tif,31,27,204033.75643356607,686294.0603891093,0.0,0.0
4,99.99999999995727,15,dem_sample_model.tif,31,27,204034.1701893462,686293.150001195,0.0,0.0
4,99.99999999995727,16,dem_sample_model.tif,32,27,204034.5839451263,686292.2396132807,0.0,0.0
4,99.99999999995727,17,dem_sample_model.tif,32,27,204034.99770090642,686291.3292253665,0.0,0.0
4,99.99999999995727,18,dem_sample_model.tif,33,28,204035.4114566865,686290.4188374522,0.0,0.0
4,99.99999999995727,19,dem_sample_model.tif,33,28,204035.82521246662,686289.508449538,0.0,0.0
4,99.99999999995727,20,dem_sample_model.tif,33,28,204036.23896824673,686288.5980616238,0.0,0.0
4,99.99999999995727,21,dem_sample_model.tif,34,28,204036.65272402685,686287.6876737095,0.0,0.0
4,99.99999999995727,22,dem_sample_model.tif,34,28,204037.06647980696,686286.7772857952,0.0,0.0
4,99.99999999995727,23,dem_sample_model.tif,35,29,204037.48023558708,686285.8668978809,0.0,0.0
